;Балакин Михаил Дмитриевич;Дегтярев Михаил Владимирович;Кумин Вадим Валентинович;Свиридов Илья Тимурович;Собянин Сергей Семенович
0;42192;151642;256717;158106;1582762
1;383;1317;2260;1532;12994
2;508;1877;3162;1787;17317
3;306;1068;1804;1076;8921
4;527;2339;3513;2258;18472
5;479;1920;2941;1817;16957
6;361;1417;2310;1450;10957
7;286;1137;1855;896;14284
8;128;421;750;388;5004
9;389;1452;2140;1365;16895
10;283;1181;2174;1134;10933
11;433;1648;2782;1795;15397
12;73;280;438;229;2232
13;310;940;1673;1119;9205
14;323;1205;1884;1236;10787
15;375;1272;2139;1288;10347
16;277;839;1394;991;6622
17;119;397;688;311;5815
18;255;619;1477;953;6436
19;255;996;1817;1284;10516
20;534;1953;3287;2210;15305
21;519;1999;2814;1943;14595
22;291;1120;1800;885;18224
23;355;1346;2123;1235;14245
24;196;589;1201;677;7513
25;350;1260;2500;1564;14808
26;355;1434;2031;1213;19602
27;343;1070;2254;1366;13625
28;307;926;1601;1228;9322
29;395;1462;2564;1782;13851
30;158;621;908;509;7939
31;297;1495;1849;1189;15096
32;189;698;1058;611;8347
33;176;794;1105;698;9150
34;267;785;1781;984;7583
35;119;435;811;582;3963
36;272;1001;1596;1009;10375
37;112;572;836;477;6711
38;310;793;1751;920;8489
39;285;1299;2203;1099;12304
40;306;1131;2292;1127;13140
41;251;1207;2082;1156;13666
42;272;1059;1668;982;11856
43;324;1192;2228;1240;12127
44;203;826;1534;892;10819
45;33;164;227;101;2635
46;264;850;1298;1042;7039
47;191;519;1299;773;5570
48;300;982;2269;1250;8775
49;290;1073;2035;1209;11056
50;284;808;1662;1011;9349
51;265;757;1720;1275;7632
52;213;840;1071;648;7308
53;340;1144;2029;1216;11655
54;480;2111;3373;1979;20102
55;227;762;1460;1314;6933
56;315;1168;2025;1047;12182
57;317;1168;2436;1152;10541
58;152;466;753;520;4746
59;223;717;1344;972;6660
60;237;684;1599;1067;6242
61;641;2662;3937;2580;24578
62;141;487;919;571;4429
63;251;745;1539;922;6552
64;392;1839;2517;1501;13781
65;150;491;746;397;5487
66;330;1138;1915;1027;10633
67;377;1393;2612;1398;13438
68;117;350;613;452;4474
69;585;2197;3654;2186;24660
70;219;762;1282;768;7171
71;439;1844;2985;1764;17235
72;447;1893;3457;2245;20204
73;550;1954;3779;2595;20004
74;338;1184;2509;1668;12564
75;323;1321;2393;1385;12223
76;147;334;624;423;3734
77;375;1143;2253;1468;10528
78;170;526;978;876;5559
79;139;433;813;622;4176
80;257;650;1614;1145;7425
81;428;1215;2661;1776;12288
82;343;1153;2517;4089;13155
83;307;860;1746;1237;8753
84;373;1035;2140;1401;10578
85;75;235;623;456;3296
86;613;2495;4622;2207;29386
87;85;408;492;259;3911
88;420;1479;2709;1363;15916
89;406;1178;1874;1150;10751
90;631;2578;3454;2125;22602
91;760;3463;5142;2746;32229
92;167;914;1103;809;9847
93;127;521;852;540;4978
94;353;1231;1862;993;11903
95;277;1108;2059;1159;13204
96;378;1453;2437;1399;16023
97;231;853;1482;897;9127
98;356;1065;1889;1372;10481
99;290;698;1990;1143;7887
100;421;1269;2239;1376;13892
101;450;1612;2879;1883;18156
102;227;718;1320;795;7461
103;287;868;2101;1272;9325
104;237;778;1495;940;9203
105;352;1177;2062;1064;14535
106;494;1521;2985;1666;18507
107;381;1050;2081;1248;12818
108;699;2570;4072;2115;29086
109;609;2017;3632;2013;22295
110;498;2076;2872;1614;21312
111;249;1158;1579;848;12012
112;354;1372;1885;1177;16247
113;397;1378;1677;1404;11360
114;211;606;946;670;5634
115;389;1453;2377;1329;16117
116;282;874;1301;861;9214
117;291;996;1414;986;9939
118;362;1402;2045;1475;14728
119;282;844;1352;979;8508
120;420;1580;2402;1305;14463
121;475;1928;2835;1686;18355
122;415;1463;2090;1242;14704
123;285;1118;1815;1205;12292
124;402;1340;2095;1361;14670
125;540;1972;2545;1729;20209
126;540;1559;2367;1144;29246
127;588;2040;3003;1292;34217
128;660;2010;2780;1250;27916
