;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;District
0;7301064;5718568;2109453;149627;3459473;149535;2106162;64278;2191419;31;16;Total
1;62663;48000;18092;1034;28873;1034;18059;607;18486;1;0;район Богородское
2;76911;61150;23264;2239;35647;2239;23183;771;24651;0;0;район Вешняки 
3;40553;30500;12055;1616;16829;1616;12031;472;13175;0;0;район Восточное Измайлово 
4;100703;75200;25844;2136;47220;2136;25823;850;27109;0;0;район Гольяново 
5;79206;61500;23417;1431;36652;1430;23363;679;24114;0;0;район Ивановское 
6;57496;44790;15837;1261;27692;1260;15820;585;16495;0;0;район Измайлово 
7;46058;35710;17711;1123;16876;1122;17698;362;18458;0;0;район Косино-Ухтомский 
8;21341;15825;6459;453;8913;452;6455;216;6691;0;0;район Метрогородок 
9;65988;53550;21636;1233;30681;1233;21571;563;22241;0;0;район Новокосино 
10;54607;43700;15375;780;27545;780;15358;433;15705;0;0;район Новогиреево 
11;78754;66900;21745;1091;44064;1089;21676;710;22055;0;0;район Перово
12;8009;5700;3059;309;2332;309;3047;104;3252;0;0;район Восточный
13;46482;34860;13010;801;21049;801;12989;543;13247;0;0;район Преображенское
14;53538;43037;14765;1194;27077;1194;14759;518;15435;1;0;район Северное Измайлово
15;51680;41100;14942;1095;25063;1095;14897;571;15421;0;0;район Соколиная гора
16;33175;24006;10101;538;13367;538;10070;485;10123;0;0;район Сокольники
17;19420;17200;6793;718;9689;718;6776;164;7330;0;0;район Внуково
18;34438;24400;9518;723;14159;723;9494;477;9740;0;0;район Дорогомилово
19;51062;41200;14565;760;25875;760;14555;447;14868;0;0;район Крылатское
20;87138;72856;22788;1273;48795;1271;22763;745;23289;0;0;район Кунцево
21;83595;70500;20885;1567;48048;1567;20863;560;21870;0;0;Можайский район
22;71117;55850;22114;825;32911;825;22073;578;22320;0;0;район Ново-Переделкино
23;69591;50800;18937;913;30950;912;18913;521;19304;0;0;район Очаково-Матвеевское
24;36205;30700;9528;986;20186;986;9519;329;10176;0;0;район Проспект Вернадского
25;78266;66800;20264;908;45628;907;20232;657;20482;0;0;район Раменки
26;73061;61700;23505;1693;36502;1693;23491;549;24635;0;0;район Солнцево
27;69499;53200;18608;726;33866;712;18580;634;18658;0;0;район Тропарево-Никулино
28;46687;37743;12910;906;23927;905;12898;419;13384;0;0;район Филевский парк
29;68630;56520;18888;1765;35867;1763;18870;579;20054;0;0;район Фили-Давыдково
30;27838;23300;9272;1123;12905;1123;9261;249;10135;0;0;район Силино
31;67171;53050;19119;1316;32615;1316;19089;479;19926;0;0;район Крюково
32;26832;21345;9510;1625;10210;1625;9506;228;10903;0;0;район Старое Крюково
33;31833;25000;11151;1073;12776;1073;11135;285;11923;0;0;район Матушкино
34;41010;30550;10920;977;18653;977;10893;470;11400;0;0;район Аэропорт
35;22530;19000;5471;648;12881;648;5468;206;5910;0;0;район Беговой 
36;48557;41200;13511;1069;26620;1067;13505;319;14253;0;0;Бескудниковский район 
37;23520;17000;7545;1445;8010;1445;7537;274;8708;0;0;район Савелки
38;42386;32100;11767;977;19356;976;11723;436;12263;0;0;Войковский район
39;57145;45100;16518;1128;27454;1128;16464;402;17190;0;0;район Восточное Дегунино
40;62696;55300;17192;1314;36794;1314;17166;484;17996;0;0;Головинский район
41;57521;48200;16995;1780;29425;1780;16954;372;18362;0;0;Дмитровский район
42;53141;44250;14806;1403;28041;1401;14798;362;15837;0;0;район Западное Дегунино
43;59058;43800;16000;1689;26111;1689;15981;559;17111;0;0;район Коптево
44;37446;36850;12687;1967;22196;1967;12675;368;14274;0;0;Левобережный район
45;7020;5000;3057;165;1778;165;3055;60;3160;0;0;Молжаниновский район
46;35507;25924;10045;891;14988;891;10041;439;10493;0;0;Савеловский район
47;29935;21800;8235;478;13087;476;8218;342;8352;0;0;район Сокол
48;46933;33808;12789;1581;19438;1581;12762;767;13576;0;0;Тимирязевский район
49;56826;40600;15160;1030;24410;1029;15144;510;15663;0;0;район Ховрино
50;46065;33000;13052;530;19418;530;13028;444;13114;0;0;Хорошевский район
51;39364;33100;11211;873;21016;873;11177;401;11649;0;0;Алексеевский район
52;32529;25000;9601;705;14694;705;9597;222;10080;0;0;Алтуфьевский район
53;54007;45000;15646;1269;28085;1269;15629;514;16384;0;0;Бабушкинский район
54;95700;71100;26672;2097;42331;2097;26595;647;28045;0;0;район Бибирево
55;36875;28700;10486;560;17654;560;10480;344;10696;0;0;Бутырский район
56;52914;37480;16126;1060;20294;1059;16116;438;16737;0;0;район Лианозово
57;53489;40600;15058;1032;24510;1032;15045;463;15614;0;0;Лосиноостровский район
58;21005;14900;6372;475;8053;475;6364;202;6637;0;0;район Марфино
59;34112;25300;9506;759;15035;759;9489;332;9916;0;0;район Марьина Роща
60;33631;27900;9434;724;17736;724;9423;318;9829;6;0;Останкинский район
61;117256;98500;33685;1794;63021;1794;33519;915;34398;0;0;район Отрадное
62;21516;17650;6144;597;10909;597;6142;192;6547;0;0;район Ростокино
63;32890;26600;9814;518;16268;518;9809;318;10009;0;0;район Свиблово
64;68143;55500;19184;1451;34865;1451;19163;584;20030;0;0;район Северное Медведково
65;21291;14650;7122;339;7189;339;7119;187;7271;0;0;район Северный
66;49119;35450;14603;850;19997;849;14550;356;15043;0;0;район Южное Медведково
67;57225;43419;18240;1585;23594;1585;18195;562;19218;0;0;Ярославский район
68;19909;13700;5864;387;7449;387;5855;236;6006;0;0;район Куркино
69;115212;94600;32699;1435;60465;1435;32692;845;33282;1;0;район Митино
70;33110;24315;9786;744;13785;743;9776;317;10202;0;0;район Покровское-Стрешнево
71;87219;64161;23533;1485;39143;1485;23508;726;24267;0;0;район Северное Тушино
72;93675;70837;27453;1555;41829;1555;27405;714;28246;0;0;район Строгино
73;98805;73900;27924;1846;44131;1844;27891;853;28882;0;1;район Хорошево-Мневники
74;61550;44390;17522;1387;25481;1387;17499;623;18263;0;0;район Щукино
75;62253;46300;16960;1240;28100;1240;16932;527;17645;0;0;район Южное Тушино
76;15522;11900;5074;365;6461;365;5066;169;5262;0;0;район Арбат
77;57768;45400;15062;1269;29069;1269;15044;546;15767;0;0;Басманный район
78;27910;20610;7822;609;12179;592;7815;298;8109;0;0;район Замоскворечье
79;22410;18000;5675;759;11566;758;5667;242;6183;0;0;Красносельский район
80;35607;25947;10503;1002;14442;1002;10475;386;11091;0;0;Мещанский район
81;72686;63150;17725;1332;44092;1332;17704;668;18368;1;0;Пресненский район
82;69851;51500;20333;1426;29741;1422;20304;469;21257;0;0;Таганский район
83;44825;33410;12639;796;19976;796;12622;515;12903;0;1;Тверской район
84;53982;39930;15139;1030;23761;1029;15111;613;15527;0;0;район Хамовники
85;14834;10075;4318;546;5211;546;4313;174;4685;0;0;район Якиманка
86;127997;92753;37674;2593;52486;2592;37618;887;39323;0;0;район Выхино-Жулебино
87;15736;12500;4929;334;7237;334;4928;107;5155;0;0;район Капотня
88;79016;57600;20828;1689;35083;1689;20799;601;21887;0;0;район Кузьминки
89;48491;36480;14641;1344;20495;1344;14630;615;15359;0;0;район Лефортово
90;106766;78467;30487;1729;46249;1729;30476;815;31390;4;2;район Люблино
91;158922;131500;43254;2243;86003;2243;43215;1118;44340;0;0;район Марьино
92;36855;25942;12528;635;12779;635;12523;318;12840;0;0;район Некрасовка
93;23418;17000;6428;776;9796;776;6423;181;7018;0;0;Нижегородский район
94;52107;38500;15238;1566;21696;1566;15225;449;16342;0;0;район Печатники
95;59265;48200;17132;1171;29897;1171;17066;430;17807;0;0;Рязанский район
96;62350;48050;20265;2049;25736;2049;20209;568;21690;0;0;район Текстильщики
97;41572;31150;11818;1072;18260;1072;11812;294;12590;0;0;Южнопортовый район
98;57383;48006;14859;1131;32016;1131;14843;811;15163;0;0;Академический район
99;43958;31650;11778;839;19033;839;11764;595;12008;0;0;Гагаринский район
100;70256;51720;18096;1691;31933;1691;18082;576;19197;0;0;район Зюзино
101;89596;74070;24350;1410;48310;1399;24323;742;24980;0;0;район Коньково
102;36520;26700;10167;681;15851;680;10157;316;10521;1;0;район Котловка
103;49559;39700;13521;913;25266;912;13496;555;13853;0;0;Ломоносовский район
104;43695;33120;12094;1010;20015;1003;12053;403;12653;1;0;Обручевский район
105;62347;46380;18313;1349;26718;1349;18303;462;19190;0;0;район Северное Бутово
106;81989;65700;24028;1924;39748;1921;24012;760;25173;0;0;район Теплый Стан
107;62150;51636;16357;1719;33560;1718;16311;451;17578;0;0;район Черемушки
108;137006;98900;37972;1578;59350;1578;37922;958;38542;0;0;район Южное Бутово
109;109581;91300;30106;1328;59865;1327;30068;829;30566;1;0;район Ясенево
110;94128;74530;27237;1906;45386;1906;27205;739;28372;1;0;район Бирюлево Восточное
111;53766;41163;15294;935;24934;935;15271;360;15846;0;0;район Бирюлево Западное
112;64359;53851;20042;1491;32318;1491;20012;468;21035;0;0;район Братеево
113;52693;42150;15636;1195;25318;1195;15618;597;16216;1;0;Даниловский район
114;27236;20296;7737;692;11867;690;7731;354;8067;0;0;Донской район
115;70691;61500;20790;1419;39291;1419;20773;527;21665;0;0;район Зябликово
116;43096;32500;12331;589;19579;589;12325;382;12532;1;0;район Москворечье-Сабурово
117;44899;33215;12532;1517;19166;1517;12514;405;13626;0;0;район Нагатино-Садовники
118;62606;50700;18929;1627;30144;1627;18910;525;20012;0;0;район Нагатинский затон
119;43765;32100;11807;630;19663;629;11798;462;11965;0;0;Нагорный район
120;70349;57234;19369;1417;36448;1417;19339;586;20170;0;0;район Орехово-Борисово Северное
121;85362;71843;24817;1247;45779;1247;24778;746;25279;0;0;район Орехово-Борисово Южное
122;68210;58970;18710;1827;38433;1827;18680;593;19914;0;0;район Царицыно
123;60867;45100;16446;842;27812;842;16414;541;16715;0;0;район Чертаново Северное
124;64687;51429;19045;1361;31023;1361;19033;526;19868;0;0;район Чертаново Центральное
125;92388;69885;25933;1747;42205;1747;25892;644;26995;0;0;район Чертаново Южное
126;93986;69070;35016;828;33220;828;34943;915;34856;6;0;Новомосковская
127;100254;87545;39476;2660;45409;2660;39472;992;41140;0;0;Троицкий административный округ
128;96150;74315;35091;716;38515;716;34876;976;34616;5;12;Сосенская
