;number;gas_limit;gas_used;uncles;block_fee;block_reward
0;8927400;9929026;3133147;[];0.009929026;3.003133147
1;8927401;9938721;6960816;[];0.009938721;3.006960816
2;8927402;9948425;9945509;[];0.009948425;3.009945509
3;8927403;9958139;9943134;[];0.009958139;3.009943134
4;8927404;9967862;8582982;[];0.009967862;3.008582982
5;8927405;9958143;76930;[];0.009958143;3.00007693
6;8927406;9967866;5255936;[];0.009967866;3.005255936
7;8927407;9977599;9976052;[];0.009977599;3.009976052
8;8927408;9967874;991992;[];0.009967874;3.000991992
9;8927409;9977607;9942448;[];0.009977607;3.009942448
10;8927410;9982429;9977142;[];0.009982429;3.009977142
11;8927411;9987296;9974459;[];0.009987296;3.009974459
12;8927412;9997048;9988473;[];0.009997048;3.009988473
13;8927413;10001918;9997505;[];0.010001918;3.009997505
14;8927414;9992152;9988557;[];0.009992152;3.009988557
15;8927415;10000000;9990618;[];0.01;3.009990618
16;8927416;9990236;9982146;[];0.009990236;3.009982146
17;8927417;9980481;0;[];0.009980481;3.0
18;8927418;9970760;1847676;[];0.00997076;3.001847676
19;8927419;9961029;1184816;[];0.009961029;3.001184816
20;8927420;9951335;2885466;[];0.009951335;3.002885466
21;8927421;9961052;9953607;[];0.009961052;3.009953607
22;8927422;9951335;683291;[HexBytes('0x76041065a1e0a2bf00c733601c7ec36830e1616714e17624b32bf9e4fb09c6fd')];0.009951335;3.000683291
23;8927423;9941618;1435875;[];0.009941618;3.001435875
24;8927424;9934014;9925010;[];0.009934014;3.00992501
25;8927425;9938852;9937843;[];0.009938852;3.009937843
26;8927426;9943705;9926184;[];0.009943705;3.009926184
27;8927427;9953414;9938658;[];0.009953414;3.009938658
28;8927428;9963133;9900194;[];0.009963133;3.009900194
29;8927429;9972861;5127228;[];0.009972861;3.005127228
30;8927430;9970633;9774047;[];0.009970633;3.009774047
31;8927431;9975215;9968734;[];0.009975215;3.009968734
32;8927432;9984955;9980461;[];0.009984955;3.009980461
33;8927433;9994704;9994350;[];0.009994704;3.00999435
34;8927434;9999585;7020919;[];0.009999585;3.007020919
35;8927435;9989852;1437165;[];0.009989852;3.001437165
36;8927436;9980121;2535451;[];0.009980121;3.002535451
