;number;gas_used;block_fee;block_reward;percent
0;8919040;9889869;0.022969221999999935;2.022969222;1.1354212288653365
1;8919041;9925780;0.01912415399999995;2.019124154;0.9471509694990231
2;8919042;9909460;0.01639213199999996;2.016392132;0.8129436601074754
3;8919043;9945022;0.013255365999999968;2.013255366;0.6584046030055368
4;8919044;4367352;0.009309111999999982;2.009309112;0.46329914817008916
5;8919045;9922559;0.02458819799999993;2.024588198;1.2144789752449168
6;8919046;9914857;0.025600057999999926;2.0256000579999998;1.263825891932312
7;8919047;9814143;0.01578501599999996;2.015785016;0.7830704105204024
8;8919048;3406107;0.008297251999999986;2.008297252;0.4131486009721426
9;8919049;9924950;0.01285062199999997;2.0128506219999998;0.638428995154712
10;8919050;9913910;0.010725715999999977;2.010725716;0.5334251168447272
11;8919051;9915392;0.02438582599999993;2.024385826;1.2046036722250755
12;8919052;8914913;0.01912415399999995;2.019124154;0.9471509694990231
13;8919053;9930650;0.010320971999999979;2.010320972;0.5133992105614853
14;8919054;9928198;0.02479056999999993;2.02479057;1.2243523042484306
15;8919055;9940393;0.008297251999999986;2.008297252;0.4131486009721426
16;8919056;9943449;0.012041133999999972;2.012041134;0.5984536695858611
17;8919057;7859563;0.014368411999999964;2.014368412;0.7132961336369468
18;8919058;8345656;0.019731269999999947;2.01973127;0.9769255095010708
19;8919059;9954823;0.009612669999999981;2.00961267;0.47833446432242
20;8919060;9966134;0.02458819799999993;2.024588198;1.2144789752449168
21;8919061;9948996;0.019731269999999947;2.01973127;0.9769255095010708
22;8919062;9969689;0.010826901999999977;2.010826902;0.5384303337712149
23;8919063;9930828;0.007487763999999989;2.007487764;0.3729917628529062
24;8919064;5041722;0.006374717999999993;2.006374718;0.3177232020923019
25;8919065;9961031;0.011535203999999974;2.011535204;0.573452752756296
26;8919066;4902231;0.012142319999999972;2.01214232;0.6034523442655871
27;8919067;9942679;0.010219785999999979;2.010219786;0.5083914739659208
28;8919068;1589360;0.004452184;2.004452184;0.22211475212720763
29;8919069;9941234;0.005565229999999996;2.00556523;0.2774893539613266
30;8919070;9944107;0.008701995999999984;2.008701996;0.4332148829108837
31;8919071;9939270;0.01295180799999997;2.012951808;0.6434236502099095
32;8919072;1058472;0.0031367660000000013;2.003136766;0.15659270266721276
33;8919073;9930042;0.019731269999999947;2.01973127;0.9769255095010708
